,HR,O2Sat,Temp,SBP,MAP,DBP,Resp,EtCO2,BaseExcess,HCO3,FiO2,pH,PaCO2,SaO2,AST,BUN,Alkalinephos,Calcium,Chloride,Creatinine,Bilirubin_direct,Glucose,Lactate,Magnesium,Phosphate,Potassium,Bilirubin_total,TroponinI,Hct,Hgb,PTT,WBC,Fibrinogen,Platelets
HR,1.0,-0.07565137721607589,0.2589012184890872,-0.03371049848823681,0.06977666998647175,0.12935947749353924,0.22599415648873597,0.022541219678394103,-0.09136739169656427,-0.09212075728548531,0.003951046687022207,-0.09981588465046853,0.025315555990028514,-0.010730960178901253,0.057342125889287526,-0.02659960663827812,0.05213628017429446,-0.0961235700773144,0.013944047734098517,-0.018582918187388556,0.029377072673561416,0.08363849733173205,0.14473189473652745,-0.06452659001993127,-0.046568693772432314,0.011283449261136162,0.020793547348699724,0.004661136421343499,-0.08078049523336074,-0.08051893749825213,0.010539354820553399,0.1323489061502228,0.07518476555240902,0.026031932809207743
O2Sat,-0.07565137721607589,1.0,-0.030199982198804647,0.02490887391259409,0.025552584427702585,0.0007812687807214392,-0.14749320547876868,-0.0007165759932657945,0.03243885543329221,-0.060748831446232616,-0.0007180202779460543,0.11334581457747718,-0.1181990725609211,0.10322452995293992,-0.015069040439656593,-0.04502696675055572,-0.019154863717525162,-0.0394676518798183,0.1591856998234358,-0.013802753380927568,0.0008181914673360418,-0.027913919165304984,-0.1711448722922602,-0.02457801732151936,-0.048736040632929425,-0.02314880151277156,-0.01695248650024171,-0.0031445633647939355,-0.11892824559690085,-0.10211340129214637,-0.07253081698465164,-0.02661833714235318,-0.07444941625368631,-0.02411927282787859
Temp,0.2589012184890872,-0.030199982198804647,1.0,0.002297073617747364,-0.06254307008294226,-0.10630840338043941,0.12091333721426357,0.18978178660064576,0.14849223901254213,0.07927629675808173,-0.005342979791888394,0.20564336187170595,-0.044499094199512555,-0.009446260446339528,-0.005761675902638538,-0.11775899037413277,-0.03724190074859336,0.010313006058959476,-0.04417769594370772,-0.08349331091810139,-0.026787547335973428,-0.07115252549512117,-0.22680486422834073,-0.04812000065080629,-0.151926476744089,0.0533080127849256,-0.025179822558060082,0.01446468549698101,-0.04278056205239404,-0.03483132743740312,-0.11390361786821174,0.0371582509801988,0.2556901798970974,0.00045833724027726733
SBP,-0.03371049848823681,0.02490887391259409,0.002297073617747364,1.0,0.7804689542853116,0.5397393231570019,0.045886877071713024,0.08903823529212274,0.1512316794282731,0.05807820598451618,-0.004606036708247986,0.12264758338127266,0.010828418235871256,0.10600154496595215,-0.0008877441275018767,0.004796300925950464,-0.02919150387098485,0.0443299992866224,-0.038787692996811646,0.07870619429379343,-0.04687954326234192,0.04627650755211764,-0.12540047441923186,-0.02683959564020923,-0.026841878804873525,-0.0953444874446185,-0.02964447525971952,-0.10451535813110825,0.09449553867607083,0.07569902057407629,-0.10224264169846128,-0.038851352103765516,0.04951440905999111,0.026491454554655722
MAP,0.06977666998647175,0.025552584427702585,-0.06254307008294226,0.7804689542853116,1.0,0.8523147018459427,0.0490808240152862,0.08288539925579623,0.11123910132723316,0.02224177590511668,-0.004029730302047458,0.0943695720848945,0.0009041174459666373,0.09012224868503979,0.009768563328894218,-0.04640054301378065,-0.019275696664840775,0.03260639422972666,-0.0038503226751594186,0.06376129415230876,-0.05875381332097664,0.043359840152395655,-0.07588274340112093,-0.0410716213947369,-0.033638342434630354,-0.09638297174362073,-0.03873980457508998,-0.05102356606688519,0.17781270514226502,0.1493658371790951,-0.06675271556499426,-0.045214148084799836,0.04865315615138785,0.04508591971401244
DBP,0.12935947749353924,0.0007812687807214392,-0.10630840338043941,0.5397393231570019,0.8523147018459427,1.0,0.061882991642191486,0.07069212299820539,0.0800845215058755,0.023648872796010023,-0.00293345178149908,0.06446557160036191,0.0008587301196608942,0.06466164493848807,0.00892732161928494,-0.043594753267714434,4.09029091512631e-05,0.06714382964324102,-0.0014194448626566856,0.05883732241393715,-0.0411441973766799,0.04180682201107391,-0.04266213162858835,-0.04364492728046902,-0.02927731951718817,-0.09466885171237235,-0.029196647021241334,-0.012078555009108252,0.23644701303428098,0.20868821638475338,-0.04617036855946078,-0.052250181295276366,0.043012199207584305,0.08719031051662927
Resp,0.22599415648873597,-0.14749320547876868,0.12091333721426357,0.045886877071713024,0.0490808240152862,0.061882991642191486,1.0,-0.15912881240537566,-0.03394747570097498,-0.04124617808556967,-0.00010404605885637005,0.008306802981313272,-0.031278005349993324,-0.02356172838975711,0.024280062401561206,0.06976665691571712,0.06598968669853829,0.012642183205089098,-0.07986596052531687,0.022274734497420227,-0.010113642132992423,0.0370864268135913,0.1337196400519053,-0.005325094641737961,-0.03233672224732334,0.009578469187259601,0.012378833327110083,0.011235120590090545,0.019695258226481986,0.002802442084912706,0.05992207804834028,0.043930139674998696,0.1121861629961855,0.06627094553164034
EtCO2,0.022541219678394103,-0.0007165759932657945,0.18978178660064576,0.08903823529212274,0.08288539925579623,0.07069212299820539,-0.15912881240537566,1.0,0.16344165863487267,0.28796334701228093,-0.05934495971339362,-0.04790608176170273,0.4304140571553669,0.05673890433714929,-0.16848689187568194,-0.03884601507642824,-0.07619530908195728,0.0916358630007933,-0.04167440524635911,-0.062286773107306105,-0.11739154173656133,-0.007378143577834825,-0.29480276054292254,0.0436361848972105,0.023024763175297683,-0.04281651404221962,-0.12620704687660134,-0.008237726754523772,0.10206558401700182,0.07007220213793708,-0.1804183678195681,-0.023125114234348106,0.16781155301951967,0.17653215652493917
BaseExcess,-0.09136739169656427,0.03243885543329221,0.14849223901254213,0.1512316794282731,0.11123910132723316,0.0800845215058755,-0.03394747570097498,0.16344165863487267,1.0,0.8569300420090518,-0.13070762549547746,0.6506212227762282,0.35254481391843,0.04430244344520817,-0.02966435421428865,-0.1934189309471454,-0.09741336623077862,0.19982919585774023,-0.31416036202156994,-0.23537433110642722,0.015443944358907733,-0.16415846035513101,-0.4478992786964991,-0.004635845990817346,-0.32060016647265227,-0.2326390790946005,0.043624880566221845,0.022170824715783945,-0.049356257225693825,-0.03330201885739816,-0.2313711207724437,-0.16571022598690663,0.12376607250052299,0.07922120593272418
HCO3,-0.09212075728548531,-0.060748831446232616,0.07927629675808173,0.05807820598451618,0.02224177590511668,0.023648872796010023,-0.04124617808556967,0.28796334701228093,0.8569300420090518,1.0,-0.08303534981934448,0.40075484181092613,0.5386531055526763,0.007461740137365107,-0.10226981166461958,-0.1724934918898239,-0.08854999062360895,0.23430341087247059,-0.38476757753581375,-0.18720940438917724,-0.07298649405978289,-0.12544320570656836,-0.4060013365039834,0.026927106291419832,-0.13802550653667586,-0.15525597864786234,-0.08749644461768528,-0.10388793433726594,0.048257742525423065,0.02637096908304869,-0.13094307156187523,-0.11726374966251564,0.0983052478947305,0.09284226795173303
