channel,count,mean,std,min,25%,50%,75%,max,pct_missing
HR,1398811.0,84.58144338298742,17.325242100630785,20.0,72.0,83.5,95.5,280.0,9.882618975525215
O2Sat,1349474.0,97.19395453339598,2.936924033416266,20.0,96.0,98.0,99.5,100.0,13.061119307310221
Temp,525226.0,36.977228240795384,0.7700142522298892,20.9,36.5,37.0,37.5,50.0,66.16269705774347
SBP,1325945.0,123.75046539637763,23.231555675961385,20.0,107.0,121.0,138.0,300.0,14.576958014701624
MAP,1358940.0,82.40009988667639,16.341750192450824,20.0,71.0,80.0,92.0,300.0,12.451279143930272
DBP,1065656.0,63.83055577034239,13.9560100791011,20.0,54.0,62.0,72.0,300.0,31.34588747656567
Resp,1313875.0,18.72649785557987,5.098193616553261,1.0,15.0,18.0,21.5,100.0,15.354558983642674
EtCO2,57636.0,32.95765667291276,7.95166212374731,10.0,28.0,33.0,38.0,100.0,96.2868426308296
BaseExcess,84145.0,-0.6899191871174756,4.294297421388696,-32.0,-3.0,0.0,1.0,100.0,94.57901959142127
HCO3,65028.0,24.075480562219358,4.376503698155009,0.0,22.0,24.0,26.8,55.0,95.81061840859162
FiO2,129365.0,0.5548386348703284,11.123206953412938,-50.0,0.4,0.5,0.6,4000.0,91.66575398947307
pH,107573.0,7.37893402619616,0.07456771045420388,6.62,7.34,7.38,7.43,7.93,93.06968773555124
PaCO2,86301.0,41.02186880800917,9.267241922519652,10.0,35.0,40.0,45.0,100.0,94.44012085993518
SaO2,53561.0,92.65418774854838,10.892985861381211,23.0,94.0,97.0,98.0,100.0,96.54937154122187
AST,25183.0,260.22338482309493,855.7467949591072,3.0,22.0,41.0,111.0,9961.0,98.37760354591197
BUN,106568.0,23.91545210569777,19.99431683426316,1.0,12.0,17.0,28.0,268.0,93.13443412940259
Alkalinephos,24941.0,102.48366144100076,120.12274631275125,7.0,54.0,74.0,108.0,3833.0,98.39319421985428
Calcium,91331.0,7.557530849328269,2.4331518461234616,1.0,7.7,8.3,8.7,27.9,94.116066769316
Chloride,70466.0,105.82790991400108,5.88046193210242,26.0,102.0,106.0,109.0,145.0,95.46027921479696
Creatinine,94616.0,1.5106993531749389,1.8056025377921143,0.1,0.7,0.94,1.43,46.6,93.90443303418996
Bilirubin_direct,2990.0,1.8361772575250843,3.6940820633028757,0.01,0.2,0.445,1.7,37.5,99.80737142525818
Glucose,265516.0,136.9322832898959,51.31072775054428,10.0,106.0,127.0,153.0,988.0,82.89432486583645
Lactate,41446.0,2.646666023259181,2.5262143545552327,0.2,1.26,1.8,3.0,31.0,97.32987160242493
Magnesium,97951.0,2.05145021490337,0.3978977438593761,0.2,1.8,2.0,2.2,9.8,93.68957808543948
Phosphate,62301.0,3.544237652686153,1.423285943964722,0.2,2.6,3.3,4.1,18.8,95.98630339966886
Potassium,144525.0,4.135527970939283,0.6421499058681686,1.0,3.7,4.1,4.4,27.5,90.68908201854131
Bilirubin_total,23141.0,2.114059461561731,4.311468461696649,0.1,0.5,0.9,1.7,49.6,98.5091579103343
TroponinI,14781.0,8.290099451999183,24.80623534679883,0.01,0.04,0.3,3.98,440.0,99.04774482834152
Hct,137433.0,30.79409334002751,5.491748792624088,5.5,27.0,30.3,34.1,71.7,91.1459789590326
Hgb,114591.0,10.43083278791528,1.9686608112841868,2.2,9.1,10.3,11.7,32.0,92.61755819122412
PTT,45699.0,41.231193461563706,26.217668854718724,12.5,27.8,32.4,42.8,250.0,97.05587517152962
WBC,99447.0,11.446405019759258,7.731012548653518,0.1,7.6,10.3,13.8,440.0,93.59319937379607
Fibrinogen,10242.0,287.38570591681315,153.0029076816572,34.0,184.0,250.0,349.0,1760.0,99.34016660116866
Platelets,92209.0,196.01391078961922,103.63536570615283,1.0,126.0,181.0,244.0,2322.0,94.05950225807075
