channel,importance
Temp,0.0929808182726047
FiO2,0.07198909237630033
Lactate,0.05956225911995171
BUN,0.054781407102404873
pH,0.047748026784081896
PaCO2,0.04587723665263349
WBC,0.04496263742400206
Creatinine,0.0414381509295014
HR,0.03677337795719839
Platelets,0.036738332535432495
AST,0.03651041199260952
Alkalinephos,0.031049938593911027
Hct,0.029244690879136937
PTT,0.02802327998046529
Hgb,0.026030148458784274
Phosphate,0.025506655008387034
Calcium,0.02436591271973202
BaseExcess,0.024046991827339655
Bilirubin_total,0.02369283060812548
Potassium,0.022292464472021198
HCO3,0.021428983629693827
Resp,0.020947576075320017
Glucose,0.020750128774148356
Chloride,0.020098060317880462
Magnesium,0.01783423206547011
SaO2,0.01710268856123667
SBP,0.01312178635427037
DBP,0.012814910314342714
MAP,0.012774301146005083
Fibrinogen,0.01090416690487923
TroponinI,0.009304367431529795
EtCO2,0.00896449722050829
O2Sat,0.005354508267325662
Bilirubin_direct,0.004985129242765564
