channel,n_readings,n_patients
Resp,13913,100
HR,13913,100
O2Sat,13540,100
DBP,8349,100
SBP,8347,100
MAP,8342,99
Temp,3379,99
Potassium,3019,100
Creatinine,3003,100
Chloride,2981,100
BUN,2973,100
Hct,2908,100
HCO3,2863,100
Platelets,2820,100
Hgb,2785,100
WBC,2759,100
Glucose,2711,100
Magnesium,2470,100
Calcium,2377,99
Phosphate,2337,100
PTT,1483,100
AST,1165,82
Bilirubin_total,1146,80
Alkalinephos,1138,81
pH,966,78
PaCO2,889,77
BaseExcess,889,77
Lactate,758,83
EtCO2,202,13
Fibrinogen,164,47
FiO2,137,30
SaO2,104,32
Bilirubin_direct,53,18
