channel,avg_per_patient_missing_rate
HR,0.11008222661318173
O2Sat,0.14243226119013105
Temp,0.6642649735956672
SBP,0.15514430827554493
MAP,0.13720206728810866
DBP,0.33222940146434865
Resp,0.16380771715026057
EtCO2,0.971114595002973
BaseExcess,0.9471023712406269
HCO3,0.9580705005901833
FiO2,0.9235971967940618
pH,0.9322293662303511
PaCO2,0.9462518608689193
SaO2,0.9657086276726682
AST,0.9834844451565349
BUN,0.9303349909883001
Alkalinephos,0.9836627186695908
Calcium,0.9414211299331922
Chloride,0.954566143709129
Creatinine,0.9381787209044337
Bilirubin_direct,0.9981079474692808
Glucose,0.8296325042734053
Lactate,0.9744273963901123
Magnesium,0.9374178239467639
Phosphate,0.9605809922528539
Potassium,0.9067510293332204
Bilirubin_total,0.9847649472094062
TroponinI,0.9890921745499066
Hct,0.9101476150650746
Hgb,0.9254023245590924
PTT,0.9708897743214849
WBC,0.9349591541155493
Fibrinogen,0.9938433792807871
Platelets,0.9398090609929888
