channel,n_missing,n_total,pct_missing
Bilirubin_direct,1549220,1552210,99.80737142525818
Fibrinogen,1541968,1552210,99.34016660116866
TroponinI,1537429,1552210,99.04774482834152
Bilirubin_total,1529069,1552210,98.5091579103343
Alkalinephos,1527269,1552210,98.39319421985427
AST,1527027,1552210,98.37760354591195
Lactate,1510764,1552210,97.32987160242493
PTT,1506511,1552210,97.05587517152962
SaO2,1498649,1552210,96.54937154122187
EtCO2,1494574,1552210,96.2868426308296
Phosphate,1489909,1552210,95.98630339966886
HCO3,1487182,1552210,95.81061840859162
Chloride,1481744,1552210,95.46027921479697
BaseExcess,1468065,1552210,94.57901959142126
PaCO2,1465909,1552210,94.44012085993519
Calcium,1460879,1552210,94.116066769316
Platelets,1460001,1552210,94.05950225807075
Creatinine,1457594,1552210,93.90443303418996
Magnesium,1454259,1552210,93.68957808543946
WBC,1452763,1552210,93.59319937379607
BUN,1445642,1552210,93.13443412940259
pH,1444637,1552210,93.06968773555124
Hgb,1437619,1552210,92.61755819122412
FiO2,1422845,1552210,91.66575398947307
Hct,1414777,1552210,91.1459789590326
Potassium,1407685,1552210,90.6890820185413
Glucose,1286694,1552210,82.89432486583645
Temp,1026984,1552210,66.16269705774347
DBP,486554,1552210,31.34588747656567
Resp,238335,1552210,15.354558983642677
SBP,226265,1552210,14.576958014701619
O2Sat,202736,1552210,13.061119307310221
MAP,193270,1552210,12.451279143930266
HR,153399,1552210,9.882618975525219
