feature_a,feature_b,correlation
Bilirubin_direct,Bilirubin_total,0.9639869113540409
Hct,Hgb,0.9522081538794473
BaseExcess,HCO3,0.8569300420090518
MAP,DBP,0.8523147018459427
SBP,MAP,0.7804689542853116
BaseExcess,pH,0.6506212227762282
BUN,Creatinine,0.623933693312599
Creatinine,Phosphate,0.5486153292507021
SBP,DBP,0.5397393231570019
HCO3,PaCO2,0.5386531055526763
BUN,Phosphate,0.5341148043948485
BaseExcess,Lactate,-0.4478992786964991
pH,PaCO2,-0.4368617715156657
EtCO2,PaCO2,0.4304140571553669
HCO3,Lactate,-0.4060013365039834
